OBJECTID,ID,DIR,LENGTH,LINKID,COUNTRY,JURISCODE,JURISNAME,ROADNUM,ROADNAME,ADMIN,SURFACE,LANES,SPEEDLIM,CLASS,NHS,BORDER,Shape__Length
128257,543858,0,0.05,02_6817680,2,02_53,Washington,I205, ,State,Paved,6,96,1,1,0,0.000446299153972069
126193,541077,0,0.37,02_6695653,2,02_41,Oregon,I5,PACIFIC HWY,State,Paved,7,88,1,1,0,0.00346285759852459
122861,541153,0,1.25,02_6698292,2,02_41,Oregon,I5,PACIFIC HWY,State,Paved,7,88,1,1,0,0.0135199313781486
122947,541256,0,0.17,02_6700181,2,02_41,Oregon,S10,FARMINGTON RD,State,Paved,2,72,5,0,0,0.00215252973901891
125864,541291,0,0.61,02_6701204,2,02_41,Oregon,U26,SUNSET HWY,State,Paved,7,88,2,7,0,0.00735602982588143
123196,542399,0,0.08,02_6767691,2,02_41,Oregon,U30  B,BURNSIDE ST,State,Paved,2,72,3,10,0,0.00103219364658437
127865,542501,0,0.26,02_6770967,2,02_41,Oregon,U30  B,BURNSIDE ST,State,Paved,5,72,3,10,0,0.00334060127226195
127438,542619,0,0.06,02_6772506,2,02_41,Oregon,S99E,UNION AV,State,Paved,4,48,3,10,0,0.000508009842925236
127524,542935,0,0.19,02_6782402,2,02_41,Oregon,I205,E PORTLAND FRWY,State,Paved,7,88,1,1,0,0.00169339914559681
127275,542008,0,0.41,02_6788050,2,02_41,Oregon,I205,E PORTLAND FRWY,State,Paved,6,88,1,1,0,0.00451535859273971
128520,543581,0,0.26,02_6810129,2,02_53,Washington, ,C ST,Municipal,Paved,2,40,3,10,0,0.00230504889426619
127189,542800,0,0.37,02_6778276,2,02_41,Oregon,I205,E PORTLAND FRWY,State,Paved,6,88,1,1,0,0.00337745690967901
128271,543744,0,0.28,02_6814471,2,02_53,Washington,I5, ,State,Paved,8,96,1,1,0,0.00265114815253351
126207,541070,0,0.06,02_6696069,2,02_41,Oregon, , ,Municipal,Paved,2,72,3,10,0,0.000730600085274645
126256,541356,0,0.02,02_6703885,2,02_41,Oregon,I405,STADIUM EXWY,State,Paved,6,104,1,1,0,0.000235229821305381
127830,542517,0,0.05,02_6769962,2,02_41,Oregon, ,MORRISON ST,Municipal,Paved,2,80,4,7,0,0.000585192248354793
127928,543180,0,0.16,02_6790873,2,02_41,Oregon, , ,Municipal,Paved,2,72,3,10,0,0.00203800004551523
127916,543168,0,0.08,02_6790366,2,02_41,Oregon, , ,Municipal,Paved,6,72,3,10,0,0.000679124147250942
127879,542708,0,0.01,02_6774936,2,02_41,Oregon,I5,PACIFIC HWY,State,Paved,6,88,1,1,0,5.99995768553185E-05
126883,543562,0,0.1,02_6809475,2,02_53,Washington,I5, ,State,Paved,6,96,1,1,0,0.000926285769162221
128506,543578,0,0.09,02_6810003,2,02_53,Washington, ,W 14TH ST,Municipal,Paved,2,40,5,0,0,0.0010940080033492
128457,543630,0,0.04,02_6810889,2,02_53,Washington,S501,NW NEW LOWER RIVER RD,State,Paved,4,48,3,8,0,0.000511375415030675
128469,543521,0,0.51,02_6811022,2,02_53,Washington, ,E FOURTH PLAIN BLVD,Municipal,Paved,4,48,3,10,0,0.00651846425122599
